CFGPdb_unigene	clones	libraries_specific	annotation	Arabidopsis_first_BLAST_hit_ID	Arabidopsis_first_BLAST_hit_description
aC18011D11Rv_c	C18011D11	yes	Putative TIP120 protein	AT2G02560	TBP-interacting protein 120A [Rattus norvegicus] (GB:NP_446456.1); similar to PREDICTED: TBP-interacting protein [Mus musculus] (GB:XP_125901.5); similar to TIP120 protein [Homo sapiens] (GB:AAH50341.1); similar to mKIAA0829 protein [Mus musculus] (GB:BAC98035.1); similar to hypothetical protein [Homo sapiens] (GB:CAB66744.1); contains InterPro domain TBP-interacting 120 (InterPro:IPR007723)
aC18011D12Rv_c	C18011D12	yes	Beta-D-glucosidase	AT5G20940	glycosyl hydrolase family 3 protein, beta-glucosidase, common nasturtium, PIR:T10521
aC18011E01Rv_c	C18011E01	yes	expressed protein	AT1G18265	expressed protein
aC18011E05Rv_c	C18011E05	yes	no_annotation_available	AT5G40270	metal-dependent phosphohydrolase HD domain-containing protein, similar to SP:Q60710 Interferon-gamma inducible protein MG11 {Mus musculus}; contains Pfam profile PF01966: HD domain
aC18011E07Rv_c	C18011E07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011E08Rv_c	C18011E08	yes	HAD superfamily protein involved in N-acetyl-glucosamine catabolism- like	AT5G10460	haloacid dehalogenase-like hydrolase family protein, contains InterPro accession IPR005834: Haloacid dehalogenase-like hydrolase
aC18011E09Rv_c	C18011E09	yes	F13M7.4 protein	AT1G04970	lipid-binding serum glycoprotein family protein, low similarity to SP:P17213 Bactericidal permeability-increasing protein precursor (BPI) {Homo sapiens}; contains Pfam profile PF02886: LBP / BPI / CETP family, C-terminal domain
aC18011E11Rv_c	C18011E11	yes	At1g09020/F7G19_11	AT1G09020	protein kinase, putative, similar to protein kinase AKINbetagamma-2 (Zea mays) GI:11139548, AKINbetagamma-1 (Zea mays) GI:11139546; contains Pfam profile PF00571: CBS domain
aC18011E12Rv_c	C18011E12	yes	Putative disease resistance protein	AT4G12010	disease resistance protein (TIR-NBS-LRR class), putative, domain signature TIR-NBS-LRR exists, suggestive of a disease resistance protein.
aC18011F06Rv_c	C18011F06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011F08Rv_c	C18011F08	yes	Selenium-binding protein-like	AT5G39680	EMB2744 | pentatricopeptide (PPR) repeat-containing protein, contains INTERPRO:IPR002885 PPR repeats
aC18011F12Rv_c	C18011F12	yes	expressed protein	AT2G40980	expressed protein
aC18011G01Rv_c	C18011G01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011G06Rv_c	C18011G06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011G08Rv_c	C18011G08	yes	Rab-type small GTP-binding protein	AT1G52280	Ras-related GTP-binding protein, putative, similar to RAB7D GI:1370187 from (Lotus japonicus) (Plant J. 11 (2), 237-250 (1997)); contains Pfam PF00071: Ras family
aC18011G12Rv_c	C18011G12	yes	Putative calcium-transporting ATPase 12, plasma membrane-type (EC 3.6.3.8) (Ca(2+)-ATPase isoform 12)	AT3G63380	calcium-transporting ATPase, plasma membrane-type, putative / Ca(2+)-ATPase, putative (ACA12), identical to SP:Q9LY77 Potential calcium-transporting ATPase 12, plasma membrane-type (EC 3.6.3.8) (Ca(2+)-ATPase isoform 12) {Arabidopsis thaliana}; similar to SP:Q9LF79 Calcium-transporting ATPase 8, plasma membrane-type (EC 3.6.3.8) (Ca2+-ATPase, isoform 8) {Arabidopsis thaliana}; contains InterPro Accession IPR006069: Cation transporting ATPase Belongs to plant 2B ATPase##s with an N-terminal autoinhibitor.
aC18011H01Rv_c	C18011H01	yes	Chaperone protein dnaJ 15	AT1G68370	gravity-responsive protein / altered response to gravity protein (ARG1), identical to Altered Response to Gravity (Arabidopsis thaliana) GI:4249662; contains Pfam profile PF00226 DnaJ domain
aC18011H02Rv_c	C18011H02	yes	At2g45060/T14P1.13	AT2G45060	expressed protein
aC18011H08Rv_c	C18011H08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18011H09Rv_c	C18011H09	yes	no_annotation_available	AT5G22860	serine carboxypeptidase S28 family protein, contains Pfam profile: PF05577 serine carboxypeptidase S28
aC18012A05Rv_c	C18012A05	yes	Putative V-type ATPase 116kDa subunit family	AT2G28520	vacuolar proton ATPase, putative, similar to Swiss-Prot:Q93050 vacuolar proton translocating ATPase 116 kDa subunit A isoform 1 (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit, Vacuolar proton pump subunit 1, Vacuolar adenosine triphosphatase subunit Ac116) (Homo sapiens)
aC18012A12Rv_c	C18012A12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012B01Rv_c	C18012B01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012B06Rv_c	C18012B06	yes	At2g40190 protein	AT2G40190	glycosyl transferase family 1 protein, contains Pfam profile: PF00534 Glycosyl transferases group 1
aC18012B07Rv_c	C18012B07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012B08Rv_c	C18012B08	yes	Gb|AAD25584.1	AT5G58000	phosphatase-related, weak similarity to CTD phosphatase-like 3 (Arabidopsis thaliana) GI:22212705; contains Pfam profiles PF02453: Reticulon, PF00533: BRCA1 C Terminus (BRCT) domain, PF03031: NLI interacting factor
aC18012B10Rv_c	C18012B10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012B11Rv_c	C18012B11	yes	Sugar transporter	AT1G67300	hexose transporter, putative, similar to hexose transporters from Solanum tuberosum (GI:8347246), Nicotiana tabacum (GI:8347244), Arabidopsis thaliana (GI:8347250); contains Pfam profile PF00083: major facilitator superfamily protein
aC18012B12Rv_c	C18012B12	yes	no_annotation_available	AT5G60780	high-affinity nitrate transporter, putative, similar to trans-membrane nitrate transporter protein AtNRT2:1 (Arabidopsis thaliana) GI:3747058, high-affinity nitrate transporter ACH1 (Arabidopsis thaliana) GI:3608362
aC18012C05Rv_c	C18012C05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012C10Rv_c	C18012C10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012C11Rv_c	C18012C11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012C12Rv_c	C18012C12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012D01Rv_c	C18012D01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012D09Rv_c	C18012D09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012D10Rv_c	C18012D10	yes	Aldehyde dehydrogenase, putative	AT1G44170	aldehyde dehydrogenase, putative (ALDH), similar to aldehyde dehydrogenase ALDH (Craterostigma plantagineum) gi:17065918:emb:CAC84900
aC18012D12Rv_c	C18012D12	yes	Cellulose synthase-like protein CslG	AT4G24010	cellulose synthase family protein, similar to Zea mays cellulose synthase-5 (gi:9622882), -4 (gi:9622880)
aC18012E01Rv_c	C18012E01	yes	Putative signal peptidase	AT5G27430	signal peptidase subunit family protein, contains Pfam profile: PF04573 signal peptidase subunit
aC18012E06Rv_c	C18012E06	yes	VAMP (Vesicle-associated membrane protein)-associated protein-like	AT5G47180	vesicle-associated membrane family protein / VAMP family protein, similar to VAP27 GI:6688926 (Nicotiana plumbaginifolia), to VAMP-associated protein B GI:4240464 (Rattus norvegicus) and to Vesicle-associated membrane protein/synaptobrevin binding protein (VAP-33) (SP:Q16943)(Aplysia californica)
aC18012E08Rv_c	C18012E08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012E10Rv_c	C18012E10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012E11Rv_c	C18012E11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012F01Rv_c	C18012F01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012F04Rv_c	C18012F04	yes	LG27/30-like gene	AT1G09910	expressed protein
aC18012F07Rv_c	C18012F07	yes	OJ000223_09.6 protein	AT4G15415	serine/threonine protein phosphatase 2A (PP2A) regulatory subunit B' (B'gamma), identical to B' regulatory subunit of PP2A (Arabidopsis thaliana) GI:2160694; similar to SWISS-PROT:Q28653 serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, delta isoform (PP2A, B subunit, B' delta isoform, PP2A, B subunit, B56 delta isoform, PP2A, B subunit, PR61 delta isoform, PP2A, B subunit, R5 delta isoform, PP2A, B subunit, B'-gamma) (Oryctolagus cuniculus); contains Pfam domain, PF01603: Protein phosphatase 2A regulatory B subunit (B56 family)
aC18012F09Rv_c	C18012F09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012F12Rv_c	C18012F12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012G02Rv_c	C18012G02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012G04Rv_c	C18012G04	yes	Pyruvate dehydrogenase E1 beta subunit, putative	AT2G34590	transketolase family protein, similar to SP:O66113 Pyruvate dehydrogenase E1 component, beta subunit (EC 1.2.4.1). {Zymomonas mobilis}; contains Pfam profiles PF02779: Transketolase, pyridine binding domain, PF02780: Transketolase, C-terminal domain
aC18012G06Rv_c	C18012G06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012G08Rv_c	C18012G08	yes	UPI000038CC4E; COG3781: Predicted membrane protein	no_similar_Arabidopsis_protein	
aC18012G09Rv_c	C18012G09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012G10Rv_c	C18012G10	yes	Seed maturation protein PM30	AT1G52690	late embryogenesis abundant protein, putative / LEA protein, putative, similar to SP:P13934 Late embryogenesis abundant protein 76 (LEA 76) {Brassica napus}; contains Pfam profile PF02987: Late embryogenesis abundant protein
aC18012G12Rv_c	C18012G12	yes	Beta-D-glucosidase	AT5G20950	glycosyl hydrolase family 3 protein, beta-D-glucan exohydrolase, Nicotiana tabacum, EMBL:AB017502
aC18012H02Rv_c	C18012H02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18012H09Rv_c	C18012H09	yes	Putative glucosyltransferase	AT1G22400	UGT85A1 | UDP-glucoronosyl/UDP-glucosyl transferase family protein, contains Pfam profile: PF00201 UDP-glucoronosyl and UDP-glucosyl transferase
aC18012H11Rv_c	C18012H11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013A05Rv_c	C18013A05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013B03Rv_c	C18013B03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013B11Rv_c	C18013B11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013D02Rv_c	C18013D02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013E09Rv_c	C18013E09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013F03Rv_c	C18013F03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013F05Rv_c	C18013F05	yes	no_annotation_available	AT1G60830	U2 snRNP auxiliary factor large subunit, putative, similar to GI:3850823 from (Nicotiana plumbaginifolia) (J. Biol. Chem. 273 (51), 34603-34610 (1998))
aC18013F09Rv_c	C18013F09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18013H04Rv_c	C18013H04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18014A12Rv_c	C18014A12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18014C09Rv_c	C18014C09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18014C11Rv_c	C18014C11	yes	YUP8H12R.20	AT1G79190	expressed protein
aC18014D03Rv_c	C18014D03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18014D10Rv_c	C18014D10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18014D12Rv_c	C18014D12	yes	Miraculin-like protein 2	no_similar_Arabidopsis_protein	
aC18014E02Rv_c	C18014E02	yes	expressed protein	AT5G43150	expressed protein
aC18014E06Rv_c	C18014E06	yes	no_annotation_available	AT3G12490	cysteine protease inhibitor, putative / cystatin, putative [Arabidopsis thaliana] (TAIR:At5g05110.1); similar to cysteine protease inhibitor CPI-1 [Brassica oleracea] (GB:AAL59842.1); contains InterPro domain Cystatin C/M (InterPro:IPR003243); contains InterPro domain Cysteine protease inhibitor (InterPro:IPR000010)
aC18014E08Rv_c	C18014E08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18014E11Rv_c	C18014E11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18014F07Rv_c	C18014F07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015A03Rv_c	C18015A03	yes	Flavanone 3-hydroxylase, putative	AT5G24530	oxidoreductase, 2OG-Fe(II) oxygenase family protein, similar to flavanone 3-hydroxylase (Persea americana)(GI:727410); contains PF03171 2OG-Fe(II) oxygenase superfamily domain
aC18015A04Rv_c	C18015A04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015A06Rv_c	C18015A06	yes	Metalloenzyme superfamily, putative	AT4G09520	2,3-biphosphoglycerate-independent phosphoglycerate mutase family protein / phosphoglyceromutase family protein, contains similarity to 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1 (EC 5.4.2.1) (Phosphoglyceromutase 1) (BPG-independent PGAM 1) (aPGAM 1) (aPGAM-Mj1). (Swiss-Prot:Q59007) (Methanococcus jannaschii); contains weak hit to Pfam profile PF01676: Metalloenzyme superfamily
aC18015B01Rv_c	C18015B01	yes	Expressed protein	AT5G16280	expressed protein
aC18015B03Rv_c	C18015B03	yes	Pyrophosphate-energized membrane proton pump 2 (EC 3.6.1.1) (Pyrophosphate-energized inorganic pyrophosphatase 2) (H(+)-PPase 2)	AT1G78920	vacuolar-type H+-translocating inorganic pyrophosphatase (AVPL1), identical to vacuolar-type H+-translocating inorganic pyrophosphatase GI:6901676 from (Arabidopsis thaliana)
aC18015B05Rv_c	C18015B05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015B09Rv_c	C18015B09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015C02Rv_c	C18015C02	yes	Rhodanese-like family protein	AT2G42220	rhodanese-like domain-containing protein, contains rhodanese-like domain PF:00581
aC18015C04Rv_c	C18015C04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015C09Rv_c	C18015C09	yes	phosphoinositide phosphatase family protein, contains similarity to phosphoinositide phosphatase SAC1 (Rattus norvegicus) gi:11095248:gb:AAG29810; contains Pfam domain, PF02383: SacI homology domain; identical to cDNA SAC domai	AT5G20840	phosphoinositide phosphatase family protein, contains similarity to phosphoinositide phosphatase SAC1 (Rattus norvegicus) gi:11095248:gb:AAG29810; contains Pfam domain, PF02383: SacI homology domain; identical to cDNA SAC domain protein 4 (SAC4) GI:31415724
aC18015C11Rv_c	C18015C11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015D02Rv_c	C18015D02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015D03Rv_c	C18015D03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015D05Rv_c	C18015D05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015D11Rv_c	C18015D11	yes	General negative transcription regulator-like	AT5G60170	RNA recognition motif (RRM)-containing protein, low similarity to transcriptional repressor Not4-Np (Homo sapiens) GI:6856207; contains INTERPRO:IPR000504 RNA-binding region RNP-1 (RNA recognition motif)
aC18015E05Rv_c	C18015E05	yes	Disease resistance protein, putative; 6346-10057	AT3G53240	leucine-rich repeat family protein, contains leucine rich-repeat (LRR) domains Pfam:PF00560, INTERPRO:IPR001611; contains similarity to Cf-2.1 (Lycopersicon pimpinellifolium) gi:1184075:gb:AAC15779
aC18015F01Rv_c	C18015F01	yes	Homogentisic acid geranylgeranyl transferase	AT2G18950	homogentisate phytylprenyltransferase family protein (HPT1) / tocopherol phytyltransferase family protein (TPT1), identical to gi:17104828; contains Pfam profile PF01040: UbiA prenyltransferase family; identical to cDNA tocopherol polyprenyltransferase (TPT1) GI:17104827
aC18015F07Rv_c	C18015F07	yes	Protein At4g32440	AT4G32440	agenet domain-containing protein, contains Pfam PF05641: Agenet domain
aC18015F08Rv_c	C18015F08	yes	Selenium-binding protein-like	AT1G31790	pentatricopeptide (PPR) repeat-containing protein, contains Pfam profile PF01535: PPR repeat
aC18015F09Rv_c	C18015F09	yes	SAB	AT1G58250	SABRE, putative, similar to SABRE (GI:719291) (Arabidopsis thaliana)
aC18015F11Rv_c	C18015F11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015G07Rv_c	C18015G07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015G08Rv_c	C18015G08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015H01Rv_c	C18015H01	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18015H08Rv_c	C18015H08	yes	OSJNBa0009P12.18 protein	no_similar_Arabidopsis_protein	
aC18015H11Rv_c	C18015H11	yes	At1g08920/F7G19_20	AT1G08920	early-responsive to dehydration stress protein (ERD6) / sugar transporter family protein [Arabidopsis thaliana] (TAIR:At1g08930.1); similar to integral membrane protein [Beta vulgaris] (GB:AAB53155.1); contains InterPro domain Sugar transporter superfamily (InterPro:IPR005829); contains InterPro domain Major facilitator superfamily (MFS) (InterPro:IPR007114); contains InterPro domain General substrate transporter (InterPro:IPR005828); contains InterPro domain Sugar transporter (InterPro:IPR003663)
aC18016A02Rv_c	C18016A02	yes	Cytochrome P450 monooxygenase CYP83A	AT3G26210	cytochrome P450 71B23, putative (CYP71B23), Identical to Cytochrome P450 71B23 (SP:Q9LTM0)(Arabidopsis thaliana);contains Pfam profile: PF00067 cytochrome P450
aC18016A04Rv_c	C18016A04	yes	Putative helicase	AT1G70070	PDE317 | DEAD/DEAH box helicase, putative, similar to SP:P35207 Antiviral protein SKI2 {Saccharomyces cerevisiae}; contains Pfam profiles PF00270: DEAD/DEAH box helicase, PF00271: Helicase conserved C-terminal domain
aC18016A05Rv_c	C18016A05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18016A08Rv_c	C18016A08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18016A09Rv_c	C18016A09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18016B02Rv_c	C18016B02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18016B06Rv_c	C18016B06	yes	no_annotation_available	AT1G29530	expressed protein
aC18016B10Rv_c	C18016B10	yes	Splicing factor u2af large subunit	AT1G60900	U2 snRNP auxiliary factor large subunit, putative, similar to U2 snRNP auxiliary factor, large subunit GB:CAA77136 from (Nicotiana plumbaginifolia)
